measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,196,South Africa,3,Both,22,All Ages,298,HIV/AIDS,1,Number,2010,240023.99042335493,298800.64182261087,207318.11338105565
1,Deaths,196,South Africa,3,Both,22,All Ages,298,HIV/AIDS,3,Rate,2010,473.1635075757603,589.0309527031279,408.6898377880842
1,Deaths,196,South Africa,3,Both,22,All Ages,297,Tuberculosis,1,Number,2012,25960.797986605852,27691.042225461304,24552.947893224435
1,Deaths,196,South Africa,3,Both,22,All Ages,297,Tuberculosis,3,Rate,2012,50.146252214767884,53.488416967929886,47.42682864775293
1,Deaths,196,South Africa,3,Both,22,All Ages,298,HIV/AIDS,1,Number,2012,193635.04652703126,240989.88684269,168276.99781401272
1,Deaths,196,South Africa,3,Both,22,All Ages,298,HIV/AIDS,3,Rate,2012,374.02825158812925,465.499544854394,325.04627857275943
1,Deaths,196,South Africa,3,Both,22,All Ages,297,Tuberculosis,1,Number,2011,28083.405989042305,29782.253361149043,26722.738871146546
1,Deaths,196,South Africa,3,Both,22,All Ages,297,Tuberculosis,3,Rate,2011,54.81545158166971,58.13139858278134,52.15959201289496
1,Deaths,196,South Africa,3,Both,22,All Ages,298,HIV/AIDS,1,Number,2011,217917.0760557443,271184.5600067372,189761.804361235
1,Deaths,196,South Africa,3,Both,22,All Ages,298,HIV/AIDS,3,Rate,2011,425.34808406122556,529.3198454826259,370.39235921284666
1,Deaths,196,South Africa,3,Both,22,All Ages,297,Tuberculosis,1,Number,2013,24336.76490097903,25949.327732722973,23052.348423921067
1,Deaths,196,South Africa,3,Both,22,All Ages,297,Tuberculosis,3,Rate,2013,46.50630524333534,49.58782982485944,44.051851457687555
1,Deaths,196,South Africa,3,Both,22,All Ages,298,HIV/AIDS,1,Number,2013,175969.19231858375,221878.42158903752,151183.40905504054
1,Deaths,196,South Africa,3,Both,22,All Ages,298,HIV/AIDS,3,Rate,2013,336.2680703326352,423.99824476728656,288.9037141070008
1,Deaths,196,South Africa,3,Both,22,All Ages,297,Tuberculosis,1,Number,2014,23526.479661292688,24943.15843084841,22274.657172284267
1,Deaths,196,South Africa,3,Both,22,All Ages,297,Tuberculosis,3,Rate,2014,44.477673875457924,47.155957120794184,42.11105748330446
1,Deaths,196,South Africa,3,Both,22,All Ages,298,HIV/AIDS,1,Number,2014,167813.40860212647,217222.8606820342,142383.05929860222
1,Deaths,196,South Africa,3,Both,22,All Ages,298,HIV/AIDS,3,Rate,2014,317.25741237923125,410.6677962366548,269.1804030201963
1,Deaths,196,South Africa,3,Both,22,All Ages,297,Tuberculosis,1,Number,2015,22675.161984067814,24235.73031839756,21507.76441146704
1,Deaths,196,South Africa,3,Both,22,All Ages,297,Tuberculosis,3,Rate,2015,42.422375390690405,45.34200241466834,40.23832139849194
1,Deaths,196,South Africa,3,Both,22,All Ages,298,HIV/AIDS,1,Number,2015,166978.393666602,216860.21771456648,140257.06333207176
1,Deaths,196,South Africa,3,Both,22,All Ages,298,HIV/AIDS,3,Rate,2015,312.3955675922501,405.7181849310789,262.4033202518972
1,Deaths,196,South Africa,3,Both,22,All Ages,297,Tuberculosis,1,Number,2016,21540.696704869737,23148.25613420526,20351.52558339764
1,Deaths,196,South Africa,3,Both,22,All Ages,297,Tuberculosis,3,Rate,2016,39.894924946246434,42.87224103117473,37.69249420366751
1,Deaths,196,South Africa,3,Both,22,All Ages,298,HIV/AIDS,1,Number,2016,172025.48489639035,224082.85443329628,142933.22128967298
1,Deaths,196,South Africa,3,Both,22,All Ages,298,HIV/AIDS,3,Rate,2016,318.6036135605408,415.0176190603892,264.7226416955957
1,Deaths,196,South Africa,3,Both,22,All Ages,297,Tuberculosis,1,Number,2018,20137.029667693958,21906.306577993462,18514.941110143183
1,Deaths,196,South Africa,3,Both,22,All Ages,297,Tuberculosis,3,Rate,2018,36.578150283375564,39.791974654984244,33.63168796941153
1,Deaths,196,South Africa,3,Both,22,All Ages,298,HIV/AIDS,1,Number,2018,153280.87082903853,190654.83410926152,131566.0061131075
1,Deaths,196,South Africa,3,Both,22,All Ages,298,HIV/AIDS,3,Rate,2018,278.4288855543668,346.3172716822654,238.98465777747765
1,Deaths,196,South Africa,3,Both,22,All Ages,297,Tuberculosis,1,Number,2017,20886.48313109968,22581.996374536786,19510.60689073406
1,Deaths,196,South Africa,3,Both,22,All Ages,297,Tuberculosis,3,Rate,2017,38.30769600503623,41.41742038967376,35.78421474561831
1,Deaths,196,South Africa,3,Both,22,All Ages,298,HIV/AIDS,1,Number,2017,169326.07726797153,214671.7204930782,142155.30349071635
1,Deaths,196,South Africa,3,Both,22,All Ages,298,HIV/AIDS,3,Rate,2017,310.5593149881913,393.7273191426922,260.72566249880236
1,Deaths,196,South Africa,3,Both,22,All Ages,297,Tuberculosis,1,Number,2019,19784.52891784274,21656.86488914569,18053.71428869051
1,Deaths,196,South Africa,3,Both,22,All Ages,297,Tuberculosis,3,Rate,2019,35.59109488697677,38.95930686168022,32.47747070346803
1,Deaths,196,South Africa,3,Both,22,All Ages,298,HIV/AIDS,1,Number,2019,143850.63028618574,177382.30938187244,123860.99276770825
1,Deaths,196,South Africa,3,Both,22,All Ages,298,HIV/AIDS,3,Rate,2019,258.77803071923347,319.0993644932176,222.81795865328755
5,Prevalence,196,South Africa,3,Both,22,All Ages,297,Tuberculosis,1,Number,1990,16257174.011997933,17838494.059208438,14724456.683788132
5,Prevalence,196,South Africa,3,Both,22,All Ages,297,Tuberculosis,3,Rate,1990,44141.77177012291,48435.4004517112,39980.11006680238
5,Prevalence,196,South Africa,3,Both,22,All Ages,298,HIV/AIDS,1,Number,1990,130595.51568018273,155970.60214970596,109185.66405164787
5,Prevalence,196,South Africa,3,Both,22,All Ages,298,HIV/AIDS,3,Rate,1990,354.59529701175137,423.4941889568204,296.4628821454585
5,Prevalence,196,South Africa,3,Both,22,All Ages,297,Tuberculosis,1,Number,1992,17111418.257046428,18757819.82599334,15477104.166168243
5,Prevalence,196,South Africa,3,Both,22,All Ages,297,Tuberculosis,3,Rate,1992,44429.75629774185,48704.63400674815,40186.263696432674
5,Prevalence,196,South Africa,3,Both,22,All Ages,298,HIV/AIDS,1,Number,1992,353044.4431030996,416595.2603545562,298664.45390513807
5,Prevalence,196,South Africa,3,Both,22,All Ages,298,HIV/AIDS,3,Rate,1992,916.6790463369911,1081.6885902911763,775.4815353390748
5,Prevalence,196,South Africa,3,Both,22,All Ages,297,Tuberculosis,1,Number,1991,16680219.888195923,18305679.549927726,15096668.561401539
5,Prevalence,196,South Africa,3,Both,22,All Ages,297,Tuberculosis,3,Rate,1991,44286.20840293748,48601.82569170984,40081.858307721246
5,Prevalence,196,South Africa,3,Both,22,All Ages,298,HIV/AIDS,1,Number,1991,216573.4637116969,256448.4984336797,182194.49212979287
5,Prevalence,196,South Africa,3,Both,22,All Ages,298,HIV/AIDS,3,Rate,1991,575.0054623242489,680.8742164299296,483.7288298601707
5,Prevalence,196,South Africa,3,Both,22,All Ages,297,Tuberculosis,1,Number,1993,17551771.652332187,19239775.70973989,15864994.416774288
5,Prevalence,196,South Africa,3,Both,22,All Ages,297,Tuberculosis,3,Rate,1993,44568.971939447976,48855.29738616045,40285.76174455632
5,Prevalence,196,South Africa,3,Both,22,All Ages,298,HIV/AIDS,1,Number,1993,558521.4628723988,656267.9766423359,478073.8090645803
5,Prevalence,196,South Africa,3,Both,22,All Ages,298,HIV/AIDS,3,Rate,1993,1418.245855712905,1666.4522314386472,1213.9662367561107
5,Prevalence,196,South Africa,3,Both,22,All Ages,297,Tuberculosis,1,Number,1995,18449976.139236137,20238387.659068156,16721337.7271138
5,Prevalence,196,South Africa,3,Both,22,All Ages,297,Tuberculosis,3,Rate,1995,44819.00052275464,49163.44065846802,40619.76225209894
5,Prevalence,196,South Africa,3,Both,22,All Ages,298,HIV/AIDS,1,Number,1995,1228637.376007915,1413289.056181959,1077211.9865799376
5,Prevalence,196,South Africa,3,Both,22,All Ages,298,HIV/AIDS,3,Rate,1995,2984.6271226589497,3433.1861716133963,2616.7819527403817
5,Prevalence,196,South Africa,3,Both,22,All Ages,297,Tuberculosis,1,Number,1994,17999797.834395736,19738234.401991732,16291243.282171218
5,Prevalence,196,South Africa,3,Both,22,All Ages,297,Tuberculosis,3,Rate,1994,44700.04453946934,49017.21480524261,40457.082185936175
5,Prevalence,196,South Africa,3,Both,22,All Ages,298,HIV/AIDS,1,Number,1994,848595.7082913158,986601.1202974069,735443.1075703198
5,Prevalence,196,South Africa,3,Both,22,All Ages,298,HIV/AIDS,3,Rate,1994,2107.3717774840648,2450.089407988339,1826.3727163546032
5,Prevalence,196,South Africa,3,Both,22,All Ages,297,Tuberculosis,1,Number,1997,19397027.66618698,21261332.00047206,17602798.927037574
5,Prevalence,196,South Africa,3,Both,22,All Ages,297,Tuberculosis,3,Rate,1997,45143.19148192435,49482.03395777039,40967.43770522648
5,Prevalence,196,South Africa,3,Both,22,All Ages,298,HIV/AIDS,1,Number,1997,2210512.690802638,2472252.4776422987,1985191.6405591029
5,Prevalence,196,South Africa,3,Both,22,All Ages,298,HIV/AIDS,3,Rate,1997,5144.581911798847,5753.735516107931,4620.186551277523
5,Prevalence,196,South Africa,3,Both,22,All Ages,297,Tuberculosis,1,Number,1996,18916423.701327544,20745284.11592886,17164578.581677474
